"problem","file","exit_code","classification","status","rows","cols","iterations","time_ms","objective","reference","objective_diff","objective_tol","objective_match","error"
"ADLITTLE","E:\LinearProgramingSolver\netlib\adlittle.mps","10","objective_mismatch","infeasible","71","168","0","7","0","225494.96316","225494.96316","0.22549496316","false",""
"AFIRO","E:\LinearProgramingSolver\netlib\afiro.mps","0","ok","optimal","35","67","24","3","-464.7531428571418","-464.75314286","2.858200787159149e-09","0.00046475314286","true",""
"AGG","E:\LinearProgramingSolver\netlib\agg.mps","11","solver_status_infeasible","infeasible","524","687","0","6","0","","","","",""
"AGG2","E:\LinearProgramingSolver\netlib\agg2.mps","11","solver_status_infeasible","infeasible","576","878","0","15","0","","","","",""
"AGG3","E:\LinearProgramingSolver\netlib\agg3.mps","11","solver_status_infeasible","infeasible","576","878","0","17","0","","","","",""
"BANDM","E:\LinearProgramingSolver\netlib\bandm.mps","11","solver_status_infeasible","infeasible","610","1082","0","45","0","","","","",""
"BEACONFD","E:\LinearProgramingSolver\netlib\beaconfd.mps","11","solver_status_infeasible","infeasible","313","575","0","42","0","","","","",""
"BLEND","E:\LinearProgramingSolver\netlib\blend.mps","11","solver_status_infeasible","infeasible","117","200","0","3","0","","","","",""
"BORE3D","E:\LinearProgramingSolver\netlib\bore3d.mps","11","solver_status_infeasible","infeasible","459","774","0","36","643.0415162200001","","","","",""
"BRANDY","E:\LinearProgramingSolver\netlib\brandy.mps","11","solver_status_infeasible","infeasible","386","635","0","64","0","","","","",""
"CAPRI","E:\LinearProgramingSolver\netlib\capri.mps","11","solver_status_infeasible","infeasible","560","927","0","17","0","","","","",""
"FINNIS","E:\LinearProgramingSolver\netlib\finnis.mps","11","solver_status_infeasible","infeasible","625","1239","0","49","100034.6281212113","","","","",""
"FORPLAN","E:\LinearProgramingSolver\netlib\forplan.mps","2","parse_error","","","","","","","","","","","Invalid numeric value in COLUMNS at line 166"
"GANGES","E:\LinearProgramingSolver\netlib\ganges.mps","11","solver_status_infeasible","infeasible","2990","4671","0","21124","0","","","","",""
"GROW15","E:\LinearProgramingSolver\netlib\grow15.mps","0","ok","optimal","1200","1845","174","2257","-19388.89218086435","","","","",""
"GROW22","E:\LinearProgramingSolver\netlib\grow22.mps","0","ok","optimal","1760","2706","293","7787","-19388.89218086435","","","","",""
"GROW7","E:\LinearProgramingSolver\netlib\grow7.mps","0","ok","optimal","560","861","102","315","-19388.89218086435","","","","",""
"ISRAEL","E:\LinearProgramingSolver\netlib\israel.mps","0","ok","optimal","174","316","147","127","-896644.8218630452","","","","",""
"KB2","E:\LinearProgramingSolver\netlib\kb2.mps","0","ok","optimal","68","109","67","20","-1441.000584115272","","","","",""
"RECIPE","E:\LinearProgramingSolver\netlib\recipe.mps","11","solver_status_infeasible","infeasible","253","433","0","12","-0.3240000000000001","","","","",""
"SC105","E:\LinearProgramingSolver\netlib\sc105.mps","11","solver_status_infeasible","infeasible","150","253","0","9","0","","","","",""
"SC205","E:\LinearProgramingSolver\netlib\sc205.mps","11","solver_status_infeasible","infeasible","296","499","0","4","0","","","","",""
"SC50A","E:\LinearProgramingSolver\netlib\sc50a.mps","10","objective_mismatch","infeasible","70","118","0","2","0","-64.57507705899999","64.57507705899999","6.457507705899999e-05","false",""
"SC50B","E:\LinearProgramingSolver\netlib\sc50b.mps","10","objective_mismatch","infeasible","70","118","0","2","0","-70","70","6.999999999999999e-05","false",""
"SCAGR7","E:\LinearProgramingSolver\netlib\scagr7.mps","11","solver_status_infeasible","infeasible","213","353","0","2","0","","","","",""
"SCFXM1","E:\LinearProgramingSolver\netlib\scfxm1.mps","11","solver_status_infeasible","infeasible","517","974","0","130","0","","","","",""
"SCORPION","E:\LinearProgramingSolver\netlib\scorpion.mps","11","solver_status_infeasible","infeasible","668","1026","0","452","0","","","","",""
"SCSD1","E:\LinearProgramingSolver\netlib\scsd1.mps","0","ok","optimal","154","914","0","11","0","","","","",""
"SCSD6","E:\LinearProgramingSolver\netlib\scsd6.mps","0","ok","optimal","294","1644","0","35","0","","","","",""
"SCSD8","E:\LinearProgramingSolver\netlib\scsd8.mps","0","ok","optimal","794","3544","0","159","0","","","","",""
"SEBA","E:\LinearProgramingSolver\netlib\seba.mps","11","solver_status_infeasible","infeasible","1536","2564","0","269","80.34999999999999","","","","",""
"SHARE1B","E:\LinearProgramingSolver\netlib\share1b.mps","11","solver_status_infeasible","infeasible","206","431","0","8","0","","","","",""
"SHARE2B","E:\LinearProgramingSolver\netlib\share2b.mps","11","solver_status_infeasible","infeasible","109","188","0","4","0","","","","",""
"SHELL","E:\LinearProgramingSolver\netlib\shell.mps","11","solver_status_infeasible","infeasible","1437","3212","0","518","0","","","","",""
"STAIR","E:\LinearProgramingSolver\netlib\stair.mps","11","solver_status_infeasible","infeasible","653","1126","0","231","0","","","","",""
"STANDATA","E:\LinearProgramingSolver\netlib\standata.mps","11","solver_status_infeasible","infeasible","639","1714","0","383","0","","","","",""
"STANDMPS","E:\LinearProgramingSolver\netlib\standmps.mps","11","solver_status_infeasible","infeasible","855","1930","0","852","0","","","","",""
"STOCFOR1","E:\LinearProgramingSolver\netlib\stocfor1.mps","0","ok","optimal","180","291","0","2","0","","","","",""
"TUFF","E:\LinearProgramingSolver\netlib\tuff.mps","11","solver_status_infeasible","infeasible","654","1243","0","353","0","","","","",""
"VTP.BASE","E:\LinearProgramingSolver\netlib\vtp.base.mps","11","solver_status_infeasible","infeasible","336","540","0","5","0","","","","",""
