"problem","file","exit_code","classification","status","rows","cols","iterations","time_ms","objective","reference","objective_diff","objective_tol","objective_match","error"
"ADLITTLE","E:\LinearProgramingSolver\netlib\adlittle.mps","10","objective_mismatch","infeasible","71","168","0","0","0","225494.96316","225494.96316","0.22549496316","false",""
"AFIRO","E:\LinearProgramingSolver\netlib\afiro.mps","0","ok","optimal","35","67","24","3","-464.7531428571418","-464.75314286","2.858200787159149e-09","0.00046475314286","true",""
"AGG","E:\LinearProgramingSolver\netlib\agg.mps","10","objective_mismatch","infeasible","524","687","0","4","0","-35991767.287","35991767.287","35.991767287","false",""
"AGG2","E:\LinearProgramingSolver\netlib\agg2.mps","10","objective_mismatch","infeasible","576","878","0","12","0","-20239252.356","20239252.356","20.239252356","false",""
"AGG3","E:\LinearProgramingSolver\netlib\agg3.mps","10","objective_mismatch","infeasible","576","878","0","16","0","10312115.935","10312115.935","10.312115935","false",""
"BANDM","E:\LinearProgramingSolver\netlib\bandm.mps","10","objective_mismatch","infeasible","610","1082","0","41","0","-158.62801845","158.62801845","0.00015862801845","false",""
"BEACONFD","E:\LinearProgramingSolver\netlib\beaconfd.mps","10","objective_mismatch","infeasible","313","575","0","16","0","33592.485807","33592.485807","0.03359248580699999","false",""
"BLEND","E:\LinearProgramingSolver\netlib\blend.mps","0","ok","optimal","117","200","87","30","-30.81214984583644","-30.812149846","1.635598323446175e-10","3.0812149846e-05","true",""
"BORE3D","E:\LinearProgramingSolver\netlib\bore3d.mps","10","objective_mismatch","infeasible","459","774","0","28","643.0415162200001","1373.0803942","730.0388779799999","0.0013730803942","false",""
"BRANDY","E:\LinearProgramingSolver\netlib\brandy.mps","10","objective_mismatch","infeasible","386","635","0","16","0","1518.5098965","1518.5098965","0.0015185098965","false",""
"CAPRI","E:\LinearProgramingSolver\netlib\capri.mps","10","objective_mismatch","infeasible","560","927","0","13","0","2690.0129138","2690.0129138","0.0026900129138","false",""
"FINNIS","E:\LinearProgramingSolver\netlib\finnis.mps","10","objective_mismatch","infeasible","625","1239","0","43","100034.6281212113","172790.96547","72756.33734878869","0.17279096547","false",""
"FORPLAN","E:\LinearProgramingSolver\netlib\forplan.mps","10","objective_mismatch","infeasible","276","697","0","15","-59.08584","-664.21896127","605.1331212700001","0.00066421896127","false",""
"GANGES","E:\LinearProgramingSolver\netlib\ganges.mps","10","objective_mismatch","infeasible","2990","4671","0","685","0","-109586.36356","109586.36356","1.0958636356","false",""
"GROW15","E:\LinearProgramingSolver\netlib\grow15.mps","10","objective_mismatch","optimal","1200","1845","174","2194","-19388.89218086435","-106870941.29","106851552.3978191","106.87094129","false",""
"GROW22","E:\LinearProgramingSolver\netlib\grow22.mps","10","objective_mismatch","optimal","1760","2706","293","7675","-19388.89218086435","-160834336.48","160814947.5878191","160.83433648","false",""
"GROW7","E:\LinearProgramingSolver\netlib\grow7.mps","10","objective_mismatch","optimal","560","861","102","327","-19388.89218086435","-47787811.815","47768422.92281913","47.787811815","false",""
"ISRAEL","E:\LinearProgramingSolver\netlib\israel.mps","0","ok","optimal","174","316","147","153","-896644.8218630452","-896644.82186","3.045191988348961e-06","0.8966448218599999","true",""
"KB2","E:\LinearProgramingSolver\netlib\kb2.mps","10","objective_mismatch","optimal","68","109","67","14","-1441.000584115272","-1749.9001299","308.8995457847282","0.0017499001299","false",""
"RECIPE","E:\LinearProgramingSolver\netlib\recipe.mps","10","objective_mismatch","infeasible","253","433","0","8","-0.3240000000000001","-266.616","266.292","0.000266616","false",""
"SC105","E:\LinearProgramingSolver\netlib\sc105.mps","10","objective_mismatch","infeasible","150","253","0","1","0","-52.202061212","52.202061212","5.220206121199999e-05","false",""
"SC205","E:\LinearProgramingSolver\netlib\sc205.mps","10","objective_mismatch","infeasible","296","499","0","8","0","-52.202061212","52.202061212","5.220206121199999e-05","false",""
"SC50A","E:\LinearProgramingSolver\netlib\sc50a.mps","10","objective_mismatch","infeasible","70","118","0","0","0","-64.57507705899999","64.57507705899999","6.457507705899999e-05","false",""
"SC50B","E:\LinearProgramingSolver\netlib\sc50b.mps","10","objective_mismatch","infeasible","70","118","0","0","0","-70","70","6.999999999999999e-05","false",""
"SCAGR7","E:\LinearProgramingSolver\netlib\scagr7.mps","0","ok","optimal","213","353","230","170","-2331389.824330984","-2331389.2548","0.5695309839211404","2.3313892548","true",""
"SCFXM1","E:\LinearProgramingSolver\netlib\scfxm1.mps","10","objective_mismatch","infeasible","517","974","0","42","0","18416.759028","18416.759028","0.018416759028","false",""
"SCORPION","E:\LinearProgramingSolver\netlib\scorpion.mps","10","objective_mismatch","infeasible","668","1026","0","67","0","1878.1248227","1878.1248227","0.0018781248227","false",""
"SCSD1","E:\LinearProgramingSolver\netlib\scsd1.mps","0","ok","optimal","154","914","132","356","8.666666674333364","8.6666666743","3.33635341576155e-11","8.6666666743e-06","true",""
"SCSD6","E:\LinearProgramingSolver\netlib\scsd6.mps","0","ok","optimal","294","1644","356","2810","50.50000007826237","50.500000078","2.62367905179417e-10","5.0500000078e-05","true",""
"SCSD8","E:\LinearProgramingSolver\netlib\scsd8.mps","0","ok","optimal","794","3544","1564","53367","904.9999999254644","904.9999999299999","4.535536390903872e-09","0.0009049999999299999","true",""
"SEBA","E:\LinearProgramingSolver\netlib\seba.mps","10","objective_mismatch","infeasible","1536","2564","0","257","80.34999999999999","15711.6","15631.25","0.0157116","false",""
"SHARE1B","E:\LinearProgramingSolver\netlib\share1b.mps","10","objective_mismatch","infeasible","206","431","237","346","0","-76589.318579","76589.318579","0.07658931857899999","false",""
"SHARE2B","E:\LinearProgramingSolver\netlib\share2b.mps","0","ok","optimal","109","188","116","32","-415.7322407414201","-415.73224074","1.420062289980706e-09","0.00041573224074","true",""
"SHELL","E:\LinearProgramingSolver\netlib\shell.mps","10","objective_mismatch","infeasible","1437","3212","0","178","0","1208825346","1208825346","1208.825346","false",""
"STAIR","E:\LinearProgramingSolver\netlib\stair.mps","10","objective_mismatch","infeasible","653","1126","0","42","0","-251.26695119","251.26695119","0.00025126695119","false",""
"STANDATA","E:\LinearProgramingSolver\netlib\standata.mps","10","objective_mismatch","infeasible","639","1714","0","100","0","1257.6995","1257.6995","0.0012576995","false",""
"STANDMPS","E:\LinearProgramingSolver\netlib\standmps.mps","10","objective_mismatch","infeasible","855","1930","0","112","0","1406.0175","1406.0175","0.0014060175","false",""
