"problem","file","exit_code","classification","status","rows","cols","iterations","time_ms","objective","reference","objective_diff","objective_tol","objective_match","error"
"ADLITTLE","E:\LinearProgramingSolver\netlib\adlittle.mps","0","ok","optimal","71","168","98","24","225494.9631652514","225494.96316","5.251407856121659e-06","0.22549496316","true",""
"AFIRO","E:\LinearProgramingSolver\netlib\afiro.mps","0","ok","optimal","35","67","24","2","-464.7531428571807","-464.75314286","2.819319888658356e-09","0.00046475314286","true",""
"AGG","E:\LinearProgramingSolver\netlib\agg.mps","0","ok","optimal","524","687","178","323","-35991767.28657679","-35991767.287","0.0004232078790664673","35.991767287","true",""
"AGG2","E:\LinearProgramingSolver\netlib\agg2.mps","0","ok","optimal","576","878","394","1401","-20239252.35597686","-20239252.356","2.313405275344849e-05","20.239252356","true",""
"AGG3","E:\LinearProgramingSolver\netlib\agg3.mps","10","objective_mismatch","infeasible","576","878","300","1103","0","10312115.935","10312115.935","10.312115935","false",""
"BANDM","E:\LinearProgramingSolver\netlib\bandm.mps","0","ok","optimal","610","1082","1252","6629","-158.6280184501203","-158.62801845","1.202522526000394e-10","0.00015862801845","true",""
"BEACONFD","E:\LinearProgramingSolver\netlib\beaconfd.mps","0","ok","optimal","313","575","191","382","33592.48580719926","33592.485807","1.992666511796415e-07","0.03359248580699999","true",""
"BLEND","E:\LinearProgramingSolver\netlib\blend.mps","0","ok","optimal","117","200","93","31","-30.81214984578668","-30.812149846","2.133155874162185e-10","3.0812149846e-05","true",""
"BORE3D","E:\LinearProgramingSolver\netlib\bore3d.mps","0","ok","optimal","459","774","207","570","1373.080394208493","1373.0803942","8.493088898831047e-09","0.0013730803942","true",""
"BRANDY","E:\LinearProgramingSolver\netlib\brandy.mps","0","ok","optimal","386","635","651","1437","1518.509896488129","1518.5098965","1.187117959489115e-08","0.0015185098965","true",""
"CAPRI","E:\LinearProgramingSolver\netlib\capri.mps","0","ok","optimal","560","927","572","1773","2690.01291376496","2690.0129138","3.504010237520561e-08","0.0026900129138","true",""
"FINNIS","E:\LinearProgramingSolver\netlib\finnis.mps","0","ok","optimal","625","1239","511","2900","172791.0655956649","172790.96547","0.1001256648742128","0.17279096547","true",""
"FORPLAN","E:\LinearProgramingSolver\netlib\forplan.mps","2","parse_error","","","","","","","","","","","Invalid numeric value in COLUMNS at line 166"
