"problem","file","exit_code","classification","status","rows","cols","iterations","time_ms","objective","reference","objective_diff","objective_tol","objective_match","error"
"ADLITTLE","E:\LinearProgramingSolver\netlib\adlittle.mps","0","ok","optimal","71","168","92","26","225494.9631652509","225494.96316","5.250883987173438e-06","0.22549496316","true",""
"AFIRO","E:\LinearProgramingSolver\netlib\afiro.mps","0","ok","optimal","35","67","24","3","-464.7531428571418","-464.75314286","2.858200787159149e-09","0.00046475314286","true",""
"AGG","E:\LinearProgramingSolver\netlib\agg.mps","10","objective_mismatch","infeasible","524","687","2","12","0","-35991767.287","35991767.287","35.991767287","false",""
"AGG2","E:\LinearProgramingSolver\netlib\agg2.mps","10","objective_mismatch","infeasible","576","878","6","54","0","-20239252.356","20239252.356","20.239252356","false",""
"AGG3","E:\LinearProgramingSolver\netlib\agg3.mps","10","objective_mismatch","infeasible","576","878","4","44","0","10312115.935","10312115.935","10.312115935","false",""
"BANDM","E:\LinearProgramingSolver\netlib\bandm.mps","0","ok","optimal","610","1082","1084","5330","-158.6280184501203","-158.62801845","1.202806743094698e-10","0.00015862801845","true",""
"BEACONFD","E:\LinearProgramingSolver\netlib\beaconfd.mps","0","ok","optimal","313","575","191","250","33592.48580719926","33592.485807","1.992666511796415e-07","0.03359248580699999","true",""
"BLEND","E:\LinearProgramingSolver\netlib\blend.mps","0","ok","optimal","117","200","87","36","-30.81214984583644","-30.812149846","1.635598323446175e-10","3.0812149846e-05","true",""
"BORE3D","E:\LinearProgramingSolver\netlib\bore3d.mps","0","ok","optimal","459","774","179","290","1373.080394208493","1373.0803942","8.49331627250649e-09","0.0013730803942","true",""
"BRANDY","E:\LinearProgramingSolver\netlib\brandy.mps","0","ok","optimal","386","635","471","727","1518.509896488129","1518.5098965","1.18709522212157e-08","0.0015185098965","true",""
"CAPRI","E:\LinearProgramingSolver\netlib\capri.mps","10","objective_mismatch","infeasible","560","927","6","47","0","2690.0129138","2690.0129138","0.0026900129138","false",""
"FINNIS","E:\LinearProgramingSolver\netlib\finnis.mps","0","ok","optimal","625","1239","470","2461","172791.0655956149","172790.96547","0.1001256148738321","0.17279096547","true",""
"FORPLAN","E:\LinearProgramingSolver\netlib\forplan.mps","10","objective_mismatch","infeasible","276","697","1","52","-59.08584","-664.21896127","605.1331212700001","0.00066421896127","false",""
"GANGES","E:\LinearProgramingSolver\netlib\ganges.mps","10","objective_mismatch","infeasible","2990","4671","3","1055","0","-109586.36356","109586.36356","1.0958636356","false",""
"GROW15","E:\LinearProgramingSolver\netlib\grow15.mps","10","objective_mismatch","optimal","1200","1845","174","2217","-19388.89218086435","-106870941.29","106851552.3978191","106.87094129","false",""
"GROW22","E:\LinearProgramingSolver\netlib\grow22.mps","10","objective_mismatch","optimal","1760","2706","293","6960","-19388.89218086435","-160834336.48","160814947.5878191","160.83433648","false",""
"GROW7","E:\LinearProgramingSolver\netlib\grow7.mps","10","objective_mismatch","optimal","560","861","102","334","-19388.89218086435","-47787811.815","47768422.92281913","47.787811815","false",""
"ISRAEL","E:\LinearProgramingSolver\netlib\israel.mps","0","ok","optimal","174","316","147","120","-896644.8218630452","-896644.82186","3.045191988348961e-06","0.8966448218599999","true",""
"KB2","E:\LinearProgramingSolver\netlib\kb2.mps","10","objective_mismatch","optimal","68","109","67","11","-1441.000584115272","-1749.9001299","308.8995457847282","0.0017499001299","false",""
"RECIPE","E:\LinearProgramingSolver\netlib\recipe.mps","0","ok","optimal","253","433","56","44","-266.6160000000002","-266.616","1.70530256582424e-13","0.000266616","true",""
"SC105","E:\LinearProgramingSolver\netlib\sc105.mps","10","objective_mismatch","optimal","150","253","50","26","-4.739153749271134","-52.202061212","47.46290746272886","5.220206121199999e-05","false",""
"SC205","E:\LinearProgramingSolver\netlib\sc205.mps","10","objective_mismatch","optimal","296","499","101","120","-0.9350393422371189","-52.202061212","51.26702186976288","5.220206121199999e-05","false",""
"SC50A","E:\LinearProgramingSolver\netlib\sc50a.mps","10","objective_mismatch","optimal","70","118","25","4","-21.74353991663534","-64.57507705899999","42.83153714236465","6.457507705899999e-05","false",""
"SC50B","E:\LinearProgramingSolver\netlib\sc50b.mps","10","objective_mismatch","optimal","70","118","35","5","-21.74353991663534","-70","48.25646008336466","6.999999999999999e-05","false",""
"SCAGR7","E:\LinearProgramingSolver\netlib\scagr7.mps","0","ok","optimal","213","353","230","153","-2331389.824330984","-2331389.2548","0.5695309839211404","2.3313892548","true",""
