"problem","file","exit_code","classification","status","rows","cols","iterations","time_ms","objective","reference","objective_diff","objective_tol","objective_match","error"
"ADLITTLE","E:\LinearProgramingSolver\netlib\adlittle.mps","0","ok","optimal","71","168","167","44","225494.9631623765","225494.96316","2.376531483605504e-06","0.22549496316","true",""
"AFIRO","E:\LinearProgramingSolver\netlib\afiro.mps","0","ok","optimal","35","67","17","2","-464.7531428571428","-464.75314286","2.857177605619654e-09","0.00046475314286","true",""
"AGG","E:\LinearProgramingSolver\netlib\agg.mps","0","ok","optimal","524","687","78","77","-35991767.2865765","-35991767.287","0.0004234984517097473","35.991767287","true",""
"AGG2","E:\LinearProgramingSolver\netlib\agg2.mps","0","ok","optimal","576","878","151","333","-20239252.35597711","-20239252.356","2.288445830345154e-05","20.239252356","true",""
"AGG3","E:\LinearProgramingSolver\netlib\agg3.mps","0","ok","optimal","576","878","168","390","10312115.93508922","10312115.935","8.922070264816284e-05","10.312115935","true",""
"BANDM","E:\LinearProgramingSolver\netlib\bandm.mps","0","ok","optimal","610","1082","1084","7196","-158.6280184501203","-158.62801845","1.202806743094698e-10","0.00015862801845","true",""
"BEACONFD","E:\LinearProgramingSolver\netlib\beaconfd.mps","0","ok","optimal","313","575","191","177","33592.48580719926","33592.485807","1.992666511796415e-07","0.03359248580699999","true",""
"BLEND","E:\LinearProgramingSolver\netlib\blend.mps","0","ok","optimal","117","200","124","23","-30.81214984582826","-30.812149846","1.717381792332162e-10","3.0812149846e-05","true",""
"BORE3D","E:\LinearProgramingSolver\netlib\bore3d.mps","0","ok","optimal","459","774","164","192","1373.080394208493","1373.0803942","8.492634151480161e-09","0.0013730803942","true",""
"BRANDY","E:\LinearProgramingSolver\netlib\brandy.mps","0","ok","optimal","386","635","471","753","1518.509896488129","1518.5098965","1.18709522212157e-08","0.0015185098965","true",""
"CAPRI","E:\LinearProgramingSolver\netlib\capri.mps","0","ok","optimal","560","927","624","2114","2690.012913768162","2690.0129138","3.18386810249649e-08","0.0026900129138","true",""
"FINNIS","E:\LinearProgramingSolver\netlib\finnis.mps","0","ok","optimal","625","1239","470","4692","172791.0655956149","172790.96547","0.1001256148738321","0.17279096547","true",""
"FORPLAN","E:\LinearProgramingSolver\netlib\forplan.mps","0","ok","optimal","276","697","280","812","-664.2189612722073","-664.21896127","2.207229954365175e-09","0.00066421896127","true",""
"GANGES","E:\LinearProgramingSolver\netlib\ganges.mps","0","ok","optimal","2990","4671","2023","107885","-109585.7361292784","-109586.36356","0.6274307216226589","1.0958636356","true",""
"GROW15","E:\LinearProgramingSolver\netlib\grow15.mps","0","ok","optimal","1200","1845","910","7067","-106870941.2935753","-106870941.29","0.003575339913368225","106.87094129","true",""
